epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1054.26,1.19535,1.41331,1.23219,0.6846,0.55969,0.56801,0.42844,1.07389,1.34657,1.08829,0.00162776,0.00162776,0.00162776
96,1066.08,1.20925,1.48182,1.22524,0.64203,0.54808,0.55883,0.27426,1.85754,1.51274,1.41555,0.0016238,0.0016238,0.0016238
97,1077.87,1.2105,1.41646,1.23801,0.65922,0.5763,0.58015,0.30271,1.80074,1.44301,1.34073,0.00161984,0.00161984,0.00161984
98,1089.09,1.22602,1.51051,1.25064,0.64851,0.56786,0.56049,0.33536,1.49641,1.42638,1.22543,0.00161588,0.00161588,0.00161588
99,1100.07,1.20422,1.47415,1.23569,0.66106,0.57893,0.55022,0.38349,1.2777,1.40719,1.14796,0.00161192,0.00161192,0.00161192
100,1111.08,1.19826,1.4377,1.23478,0.65237,0.58817,0.58281,0.39577,1.32209,1.35912,1.15974,0.00160796,0.00160796,0.00160796
101,1122.1,1.16793,1.46461,1.23342,0.65653,0.56955,0.55853,0.27157,1.83367,1.54201,1.37648,0.001604,0.001604,0.001604
102,1133.17,1.17997,1.41548,1.21025,0.66879,0.57941,0.587,0.36775,1.4011,1.35407,1.17543,0.00160004,0.00160004,0.00160004
103,1144.65,1.18044,1.4151,1.23431,0.65024,0.57831,0.58546,0.40503,1.25203,1.37983,1.12422,0.00159608,0.00159608,0.00159608
104,1156.49,1.18186,1.45836,1.22126,0.64602,0.5817,0.5796,0.37985,1.38187,1.41763,1.16355,0.00159212,0.00159212,0.00159212
105,1167.72,1.22185,1.47236,1.25167,0.64917,0.57393,0.57128,0.3304,1.60869,1.41984,1.25863,0.00158816,0.00158816,0.00158816
106,1178.77,1.20749,1.45194,1.23379,0.68167,0.58871,0.57657,0.3693,1.39533,1.37319,1.19733,0.0015842,0.0015842,0.0015842
107,1189.83,1.23257,1.50465,1.25726,0.66042,0.57065,0.56131,0.31049,1.58813,1.45641,1.27372,0.00158024,0.00158024,0.00158024
108,1200.87,1.17944,1.46647,1.23044,0.67653,0.56955,0.58625,0.4401,1.0642,1.33727,1.09263,0.00157628,0.00157628,0.00157628
109,1212.23,1.17466,1.42953,1.21581,0.69027,0.5575,0.5635,0.34211,1.46404,1.39831,1.21723,0.00157232,0.00157232,0.00157232
110,1223.66,1.1868,1.39557,1.22695,0.66082,0.56079,0.54228,0.38948,1.14348,1.43413,1.12417,0.00156836,0.00156836,0.00156836
111,1235.46,1.21134,1.41799,1.25062,0.64608,0.58784,0.57521,0.33701,1.58351,1.39866,1.26271,0.0015644,0.0015644,0.0015644
112,1246.62,1.20562,1.47803,1.23459,0.69265,0.53318,0.54107,0.30991,1.6473,1.57744,1.27064,0.00156044,0.00156044,0.00156044
113,1257.63,1.20051,1.47158,1.2257,0.63073,0.58488,0.56796,0.40093,1.19287,1.35309,1.12155,0.00155648,0.00155648,0.00155648
114,1268.6,1.19409,1.56178,1.22554,0.69722,0.55969,0.57923,0.39898,1.29311,1.40177,1.14232,0.00155252,0.00155252,0.00155252
115,1279.63,1.17392,1.39644,1.21789,0.6502,0.57612,0.56762,0.34841,1.49161,1.40644,1.21299,0.00154856,0.00154856,0.00154856
116,1290.59,1.19694,1.42024,1.24099,0.6893,0.5805,0.58168,0.40396,1.2637,1.35469,1.12453,0.0015446,0.0015446,0.0015446
117,1301.82,1.18095,1.50804,1.22996,0.63791,0.56407,0.5202,0.34677,1.29575,1.39654,1.15195,0.00154064,0.00154064,0.00154064
118,1313.22,1.19138,1.49377,1.23654,0.6642,0.57393,0.57724,0.36136,1.44853,1.37394,1.18599,0.00153668,0.00153668,0.00153668
119,1324.99,1.19115,1.42882,1.24203,0.6576,0.59146,0.58442,0.37552,1.39483,1.3656,1.17559,0.00153272,0.00153272,0.00153272
120,1336.82,1.16503,1.37054,1.22658,0.67066,0.5816,0.58921,0.38204,1.38137,1.37138,1.1608,0.00152876,0.00152876,0.00152876
121,1348.19,1.17253,1.44694,1.22366,0.6601,0.54436,0.55176,0.38741,1.19543,1.40258,1.11131,0.0015248,0.0015248,0.0015248
122,1359.19,1.18763,1.42508,1.23061,0.63745,0.55641,0.53675,0.36394,1.25743,1.41965,1.13437,0.00152084,0.00152084,0.00152084
123,1370.12,1.18444,1.4416,1.22359,0.65868,0.5575,0.55927,0.34502,1.47354,1.58662,1.21407,0.00151688,0.00151688,0.00151688
124,1380.93,1.15174,1.3971,1.20886,0.6797,0.57642,0.55073,0.33072,1.49729,1.43099,1.19933,0.00151292,0.00151292,0.00151292
125,1392.04,1.16589,1.34813,1.19752,0.66449,0.56079,0.57158,0.39072,1.24753,1.32957,1.11697,0.00150896,0.00150896,0.00150896
126,1403.84,1.17283,1.4014,1.22816,0.674,0.58198,0.57802,0.38988,1.29951,1.38973,1.14146,0.001505,0.001505,0.001505
127,1415.65,1.13889,1.44421,1.20785,0.65459,0.5816,0.56457,0.30642,1.73734,1.45618,1.31845,0.00150104,0.00150104,0.00150104
128,1427.53,1.1656,1.34435,1.21468,0.68141,0.54818,0.54266,0.32673,1.44709,1.43835,1.19337,0.00149708,0.00149708,0.00149708
129,1439.18,1.19005,1.46181,1.22806,0.71538,0.54326,0.57406,0.39017,1.2416,1.34338,1.11833,0.00149312,0.00149312,0.00149312
130,1450.63,1.16344,1.50521,1.21445,0.66545,0.56846,0.56536,0.37638,1.34348,1.43293,1.16198,0.00148916,0.00148916,0.00148916
131,1461.7,1.13032,1.35154,1.19778,0.7004,0.56517,0.58038,0.41225,1.16402,1.31689,1.09279,0.0014852,0.0014852,0.0014852
132,1472.84,1.13774,1.36646,1.21277,0.69794,0.55969,0.57182,0.41751,1.14329,1.31821,1.10195,0.00148124,0.00148124,0.00148124
133,1483.99,1.13776,1.33035,1.20046,0.6867,0.58095,0.5802,0.37949,1.38044,1.37529,1.16144,0.00147728,0.00147728,0.00147728
134,1495.06,1.12506,1.41401,1.19248,0.69757,0.58269,0.58566,0.40481,1.31613,1.35575,1.15234,0.00147332,0.00147332,0.00147332
135,1506.16,1.1341,1.383,1.20105,0.67433,0.55969,0.56546,0.37339,1.35081,1.35505,1.17051,0.00146936,0.00146936,0.00146936
136,1517.33,1.14707,1.33514,1.19434,0.70707,0.54462,0.56253,0.36631,1.32016,1.4435,1.17559,0.0014654,0.0014654,0.0014654
137,1528.42,1.13395,1.35543,1.18803,0.70847,0.56627,0.58652,0.38533,1.32765,1.30866,1.1458,0.00146144,0.00146144,0.00146144
138,1539.66,1.1669,1.36708,1.2132,0.69733,0.56188,0.58844,0.38381,1.36127,1.30798,1.15862,0.00145748,0.00145748,0.00145748
139,1551.15,1.1145,1.3985,1.1841,0.70557,0.5575,0.57481,0.34514,1.539,1.35036,1.22927,0.00145352,0.00145352,0.00145352
140,1562.93,1.11207,1.35175,1.18703,0.68304,0.54758,0.55856,0.4001,1.17889,1.43887,1.09232,0.00144956,0.00144956,0.00144956
141,1573.93,1.17666,1.43731,1.23365,0.64534,0.58379,0.55128,0.35761,1.34602,1.37178,1.16083,0.0014456,0.0014456,0.0014456
142,1584.94,1.14072,1.41816,1.20435,0.69894,0.55203,0.56123,0.39148,1.20699,1.30019,1.09702,0.00144164,0.00144164,0.00144164
143,1596.07,1.13769,1.40245,1.20535,0.69928,0.56188,0.57708,0.38423,1.3236,1.30063,1.13235,0.00143768,0.00143768,0.00143768
144,1607.17,1.14064,1.34688,1.21041,0.73007,0.55203,0.57911,0.36898,1.39168,1.35262,1.15755,0.00143372,0.00143372,0.00143372
145,1618.37,1.11845,1.37963,1.18682,0.67158,0.60022,0.59142,0.37769,1.42963,1.37075,1.17155,0.00142976,0.00142976,0.00142976
146,1629.29,1.12437,1.38628,1.18068,0.72704,0.54263,0.58092,0.36766,1.41408,1.35113,1.16811,0.0014258,0.0014258,0.0014258
